customer_id,recency,frequency,monetary,ticket_count,churn_next_60d,R_score,F_score,M_score,RFM_Score,segment_name
CUST00046,188,1,489.87,0.0,1,1,1,1,111,Dormant Customers
CUST00047,265,1,764.43,0.0,1,1,1,1,111,Dormant Customers
CUST00048,11,5,2860.14,1.0,0,4,3,3,433,Loyal Customers
CUST00049,39,2,1172.61,0.0,0,3,1,1,311,Low Value Customers
CUST00050,56,4,3169.58,1.0,0,3,2,3,323,Potential Loyalists
CUST00051,271,4,4444.3,2.0,1,1,2,4,124,Dormant Customers
CUST00052,116,3,2807.14,1.0,1,2,2,3,223,Potential Loyalists
CUST00053,10,6,5422.92,2.0,0,4,3,4,434,Loyal Customers
CUST00054,23,2,1154.37,0.0,0,4,1,1,411,Low Value Customers
CUST00055,1,4,1707.24,1.0,0,4,2,2,422,Low Value Customers
CUST00056,53,5,4169.73,1.0,0,3,3,3,333,Loyal Customers
CUST00057,197,2,2510.83,0.0,1,1,1,2,112,Dormant Customers
CUST00058,49,5,3930.75,0.0,0,3,3,3,333,Loyal Customers
CUST00059,9,5,5050.94,0.0,0,4,3,4,434,Loyal Customers
CUST00060,206,1,293.22,0.0,1,1,1,1,111,Dormant Customers
CUST00061,3,5,2511.7200000000003,1.0,0,4,3,2,432,Loyal Customers
CUST00062,50,5,3135.08,1.0,0,3,3,3,333,Loyal Customers
CUST00063,277,1,397.69,1.0,1,1,1,1,111,Dormant Customers
CUST00064,27,3,1634.0,0.0,0,3,2,2,322,Low Value Customers
CUST00065,1,4,3966.91,0.0,0,4,2,3,423,Potential Loyalists
CUST00066,381,5,4598.95,1.0,1,1,3,4,134,Loyal Customers
CUST00067,124,2,1246.44,1.0,1,2,1,1,211,Dormant Customers
CUST00068,407,3,2123.66,1.0,1,1,2,2,122,Dormant Customers
CUST00069,90,2,874.47,0.0,1,2,1,1,211,Low Value Customers
CUST00070,99,1,542.98,0.0,1,2,1,1,211,Low Value Customers
CUST00071,93,1,2062.5,1.0,1,2,1,2,212,Potential Loyalists
CUST00072,151,4,2587.02,0.0,1,2,2,2,222,Dormant Customers
CUST00073,45,7,6253.77,0.0,0,3,4,4,344,Loyal Customers
CUST00074,26,5,2884.48,1.0,0,3,3,3,333,Loyal Customers
CUST00075,44,11,7714.719999999999,4.0,0,3,4,4,344,Loyal Customers
CUST00076,1,4,2888.0299999999997,0.0,0,4,2,3,423,Potential Loyalists
CUST00077,170,1,394.32,0.0,1,2,1,1,211,Dormant Customers
CUST00078,200,1,894.45,1.0,1,1,1,1,111,Dormant Customers
CUST00079,252,1,619.57,0.0,1,1,1,1,111,Dormant Customers
CUST00080,8,4,2832.98,0.0,0,4,2,3,423,Potential Loyalists
CUST00081,41,9,5805.78,3.0,0,3,4,4,344,Loyal Customers
CUST00082,315,3,1671.25,0.0,1,1,2,2,122,Dormant Customers
CUST00083,150,2,806.87,1.0,1,2,1,1,211,Dormant Customers
CUST00084,228,1,1273.18,0.0,1,1,1,1,111,Dormant Customers
CUST00085,75,1,1257.8,0.0,1,2,1,1,211,Low Value Customers
CUST00086,40,6,3003.66,1.0,0,3,3,3,333,Loyal Customers
CUST00087,28,4,3610.9700000000003,0.0,0,3,2,3,323,Potential Loyalists
CUST00088,159,12,6774.5,1.0,1,2,4,4,244,Loyal Customers
CUST00089,226,2,2825.75,0.0,1,1,1,3,113,Dormant Customers
CUST00090,50,5,2498.83,1.0,0,3,3,2,332,Loyal Customers
CUST00091,18,5,5844.34,1.0,0,4,3,4,434,Loyal Customers
CUST00092,34,2,1155.25,0.0,0,3,1,1,311,Low Value Customers
CUST00093,146,1,759.64,0.0,1,2,1,1,211,Dormant Customers
CUST00094,244,4,3557.43,2.0,1,1,2,3,123,Dormant Customers
CUST00095,126,1,372.65,1.0,1,2,1,1,211,Dormant Customers
CUST00096,45,4,2403.64,1.0,0,3,2,2,322,Potential Loyalists
CUST00097,29,8,5040.67,2.0,0,3,4,4,344,Loyal Customers
CUST00098,245,2,1843.57,1.0,1,1,1,2,112,Dormant Customers
CUST00099,45,6,3861.8199999999997,1.0,0,3,3,3,333,Loyal Customers
CUST00100,3,3,2209.4,0.0,0,4,2,2,422,Potential Loyalists
CUST00101,169,5,3514.87,2.0,1,2,3,3,233,Loyal Customers
CUST00102,18,2,2048.62,0.0,0,4,1,2,412,Potential Loyalists
CUST00103,7,3,2581.31,0.0,0,4,2,2,422,Potential Loyalists
CUST00104,154,1,955.63,0.0,1,2,1,1,211,Dormant Customers
CUST00105,40,2,2846.2999999999997,0.0,0,3,1,3,313,Potential Loyalists
CUST00106,122,7,4352.11,1.0,1,2,4,4,244,Loyal Customers
CUST00107,32,4,3891.05,0.0,0,3,2,3,323,Potential Loyalists
CUST00108,105,1,1074.5,1.0,1,2,1,1,211,Low Value Customers
CUST00109,60,6,4566.15,0.0,0,2,3,4,234,Loyal Customers
CUST00110,96,6,3922.07,2.0,1,2,3,3,233,Loyal Customers
CUST00111,239,1,1135.09,0.0,1,1,1,1,111,Dormant Customers
CUST00112,34,9,6542.4,1.0,0,3,4,4,344,Loyal Customers
CUST00113,8,3,2095.48,0.0,0,4,2,2,422,Potential Loyalists
CUST00114,300,6,5133.53,1.0,1,1,3,4,134,Loyal Customers
CUST00115,220,1,596.54,1.0,1,1,1,1,111,Dormant Customers
CUST00116,204,6,5635.9,0.0,1,1,3,4,134,Loyal Customers
CUST00117,184,4,2534.33,0.0,1,1,2,2,122,Dormant Customers
CUST00118,14,4,2001.17,0.0,0,4,2,2,422,Potential Loyalists
CUST00119,6,6,4466.32,1.0,0,4,3,4,434,Loyal Customers
CUST00120,32,2,755.8399999999999,0.0,0,3,1,1,311,Low Value Customers
CUST00121,23,3,3028.88,0.0,0,4,2,3,423,Potential Loyalists
CUST00122,167,2,2048.93,0.0,1,2,1,2,212,Dormant Customers
CUST00123,29,7,3742.48,3.0,0,3,4,3,343,Loyal Customers
CUST00124,255,4,2570.5,0.0,1,1,2,2,122,Dormant Customers
CUST00125,17,3,2455.21,0.0,0,4,2,2,422,Potential Loyalists
CUST00126,118,2,1260.02,0.0,1,2,1,1,211,Low Value Customers
CUST00127,18,3,1136.12,0.0,0,4,2,1,421,Low Value Customers
CUST00128,6,3,2233.06,0.0,0,4,2,2,422,Potential Loyalists
CUST00129,32,5,4049.54,2.0,0,3,3,3,333,Loyal Customers
CUST00130,57,2,1850.58,0.0,0,2,1,2,212,Low Value Customers
CUST00131,128,6,6830.01,0.0,1,2,3,4,234,Loyal Customers
CUST00132,178,5,4876.780000000001,0.0,1,2,3,4,234,Loyal Customers
CUST00133,12,10,7152.29,1.0,0,4,4,4,444,Loyal Customers
CUST00134,19,6,4696.0199999999995,3.0,0,4,3,4,434,Loyal Customers
CUST00135,394,4,2534.18,0.0,1,1,2,2,122,Dormant Customers
CUST00136,132,1,514.9,0.0,1,2,1,1,211,Dormant Customers
CUST00137,238,2,1035.87,0.0,1,1,1,1,111,Dormant Customers
CUST00138,36,2,1424.6100000000001,0.0,0,3,1,2,312,Low Value Customers
CUST00139,14,4,3008.66,2.0,0,4,2,3,423,Potential Loyalists
CUST00140,33,5,4083.36,2.0,0,3,3,3,333,Loyal Customers
CUST00141,20,2,1055.28,0.0,0,4,1,1,411,Low Value Customers
CUST00142,230,5,1880.0,0.0,1,1,3,2,132,Loyal Customers
CUST00143,51,7,7890.950000000001,0.0,0,3,4,4,344,Loyal Customers
CUST00144,42,10,8510.65,3.0,0,3,4,4,344,Loyal Customers
CUST00145,91,1,502.35,0.0,1,2,1,1,211,Low Value Customers
CUST00146,6,6,6990.9400000000005,1.0,0,4,3,4,434,Loyal Customers
CUST00147,27,4,3412.56,1.0,0,3,2,3,323,Potential Loyalists
CUST00148,15,5,3702.7,1.0,0,4,3,3,433,Loyal Customers
CUST00149,10,3,2362.6400000000003,0.0,0,4,2,2,422,Potential Loyalists
CUST00150,35,5,2641.09,0.0,0,3,3,3,333,Loyal Customers
CUST00151,44,8,6240.6,3.0,0,3,4,4,344,Loyal Customers
CUST00152,10,8,5508.0,4.0,0,4,4,4,444,Loyal Customers
CUST00153,26,3,1619.74,0.0,0,3,2,2,322,Low Value Customers
CUST00154,42,10,8542.89,0.0,0,3,4,4,344,Loyal Customers
CUST00155,32,4,2343.2799999999997,0.0,0,3,2,2,322,Potential Loyalists
CUST00156,28,3,4831.42,1.0,0,3,2,4,324,Potential Loyalists
CUST00157,61,5,2269.91,1.0,1,2,3,2,232,Loyal Customers
CUST00158,216,1,812.34,0.0,1,1,1,1,111,Dormant Customers
CUST00159,535,2,3713.77,0.0,1,1,1,3,113,Dormant Customers
CUST00160,238,2,1064.66,1.0,1,1,1,1,111,Dormant Customers
CUST00161,14,7,6171.42,0.0,0,4,4,4,444,Loyal Customers
CUST00162,152,2,1194.5900000000001,0.0,1,2,1,1,211,Dormant Customers
CUST00163,22,2,1100.06,0.0,0,4,1,1,411,Low Value Customers
CUST00164,283,5,4657.03,1.0,1,1,3,4,134,Loyal Customers
CUST00165,37,4,2287.08,0.0,0,3,2,2,322,Potential Loyalists
CUST00166,38,3,3227.7,1.0,0,3,2,3,323,Potential Loyalists
CUST00167,280,1,423.24,0.0,1,1,1,1,111,Dormant Customers
CUST00168,13,5,4794.47,0.0,0,4,3,4,434,Loyal Customers
CUST00169,283,1,1799.45,0.0,1,1,1,2,112,Dormant Customers
CUST00170,17,12,7634.5599999999995,1.0,0,4,4,4,444,Loyal Customers
CUST00171,31,4,3416.04,0.0,0,3,2,3,323,Potential Loyalists
CUST00172,45,8,6232.719999999999,3.0,0,3,4,4,344,Loyal Customers
CUST00173,43,6,2018.8200000000002,1.0,0,3,3,2,332,Loyal Customers
CUST00174,3,7,3507.37,2.0,0,4,4,3,443,Loyal Customers
CUST00175,120,4,3568.3199999999997,1.0,1,2,2,3,223,Potential Loyalists
CUST00176,10,4,6283.41,0.0,0,4,2,4,424,Potential Loyalists
CUST00177,13,5,5158.25,0.0,0,4,3,4,434,Loyal Customers
CUST00178,33,9,5965.32,4.0,0,3,4,4,344,Loyal Customers
CUST00179,36,4,1767.07,2.0,0,3,2,2,322,Low Value Customers
CUST00180,157,2,1570.85,1.0,1,2,1,2,212,Dormant Customers
CUST00181,35,2,1815.8899999999999,0.0,0,3,1,2,312,Low Value Customers
CUST00182,60,2,672.78,0.0,0,2,1,1,211,Low Value Customers
CUST00183,213,3,3246.8900000000003,1.0,1,1,2,3,123,Dormant Customers
CUST00184,75,5,5072.85,2.0,1,2,3,4,234,Loyal Customers
CUST00185,25,9,5475.0,0.0,0,3,4,4,344,Loyal Customers
CUST00186,16,2,2279.63,1.0,0,4,1,2,412,Potential Loyalists
CUST00187,53,4,2223.79,1.0,0,3,2,2,322,Potential Loyalists
CUST00188,90,7,5810.17,3.0,1,2,4,4,244,Loyal Customers
CUST00189,4,11,8207.06,3.0,0,4,4,4,444,Loyal Customers
CUST00190,18,2,854.78,1.0,0,4,1,1,411,Low Value Customers
CUST00191,9,3,945.03,0.0,0,4,2,1,421,Low Value Customers
CUST00192,2,6,3657.1499999999996,0.0,0,4,3,3,433,Loyal Customers
CUST00193,218,1,424.74,0.0,1,1,1,1,111,Dormant Customers
CUST00194,3,6,4197.11,3.0,0,4,3,3,433,Loyal Customers
CUST00195,3,2,1955.96,1.0,0,4,1,2,412,Low Value Customers
CUST00196,85,2,1272.38,1.0,1,2,1,1,211,Low Value Customers
CUST00197,9,12,11523.66,3.0,0,4,4,4,444,Champions
CUST00198,26,10,7958.04,2.0,0,3,4,4,344,Loyal Customers
CUST00199,49,5,4359.83,1.0,0,3,3,4,334,Loyal Customers
CUST00200,26,9,7636.45,1.0,0,3,4,4,344,Loyal Customers
CUST00201,154,7,6691.56,2.0,1,2,4,4,244,Loyal Customers
CUST00202,48,2,2363.2200000000003,0.0,0,3,1,2,312,Potential Loyalists
CUST00203,175,2,743.3499999999999,0.0,1,2,1,1,211,Dormant Customers
CUST00204,47,6,3646.77,0.0,0,3,3,3,333,Loyal Customers
CUST00205,7,6,3610.58,0.0,0,4,3,3,433,Loyal Customers
CUST00206,179,10,6479.7,3.0,1,2,4,4,244,Loyal Customers
CUST00207,79,1,193.1,0.0,1,2,1,1,211,Low Value Customers
CUST00208,152,6,6865.35,1.0,1,2,3,4,234,Loyal Customers
CUST00209,340,5,3422.88,1.0,1,1,3,3,133,Loyal Customers
CUST00210,189,2,1254.8700000000001,0.0,1,1,1,1,111,Dormant Customers
CUST00211,28,7,27920.05,1.0,0,3,4,4,344,Champions
CUST00212,265,3,2071.6800000000003,0.0,1,1,2,2,122,Dormant Customers
CUST00213,147,2,1680.61,2.0,1,2,1,2,212,Dormant Customers
CUST00214,125,1,1427.16,0.0,1,2,1,2,212,Dormant Customers
CUST00215,95,3,1564.1,1.0,1,2,2,2,222,Low Value Customers
CUST00216,109,1,1349.42,1.0,1,2,1,1,211,Low Value Customers
CUST00217,140,3,1179.94,0.0,1,2,2,1,221,Dormant Customers
CUST00218,15,4,2728.57,0.0,0,4,2,3,423,Potential Loyalists
CUST00219,215,6,2782.79,1.0,1,1,3,3,133,Loyal Customers
CUST00220,19,4,1750.5,1.0,0,4,2,2,422,Low Value Customers
CUST00221,9,3,1357.66,0.0,0,4,2,1,421,Low Value Customers
CUST00222,247,2,1259.5,1.0,1,1,1,1,111,Dormant Customers
CUST00223,164,1,757.58,1.0,1,2,1,1,211,Dormant Customers
CUST00224,8,4,3249.04,1.0,0,4,2,3,423,Potential Loyalists
CUST00225,149,3,3012.6,0.0,1,2,2,3,223,Dormant Customers
CUST00226,5,4,3683.7,1.0,0,4,2,3,423,Potential Loyalists
CUST00227,214,6,4383.02,2.0,1,1,3,4,134,Loyal Customers
CUST00228,143,7,4150.72,2.0,1,2,4,3,243,Loyal Customers
CUST00229,153,5,3077.41,1.0,1,2,3,3,233,Loyal Customers
CUST00230,16,9,8646.32,2.0,0,4,4,4,444,Loyal Customers
CUST00231,22,4,2330.3900000000003,0.0,0,4,2,2,422,Potential Loyalists
CUST00232,8,3,3010.99,0.0,0,4,2,3,423,Potential Loyalists
CUST00233,422,3,1626.9899999999998,0.0,1,1,2,2,122,Dormant Customers
CUST00234,35,7,5988.42,0.0,0,3,4,4,344,Loyal Customers
CUST00235,13,5,3186.58,0.0,0,4,3,3,433,Loyal Customers
CUST00236,18,2,1796.52,1.0,0,4,1,2,412,Low Value Customers
CUST00237,30,5,4240.2,0.0,0,3,3,3,333,Loyal Customers
CUST00238,57,3,3798.2000000000003,2.0,0,2,2,3,223,Potential Loyalists
CUST00239,381,1,208.1,0.0,1,1,1,1,111,Dormant Customers
CUST00240,18,3,2710.16,1.0,0,4,2,3,423,Potential Loyalists
CUST00241,7,4,4566.46,0.0,0,4,2,4,424,Potential Loyalists
CUST00242,16,7,4040.24,0.0,0,4,4,3,443,Loyal Customers
CUST00243,130,4,3129.06,1.0,1,2,2,3,223,Dormant Customers
CUST00244,205,2,2449.86,0.0,1,1,1,2,112,Dormant Customers
CUST00245,9,5,3729.23,0.0,0,4,3,3,433,Loyal Customers
CUST00246,34,5,3071.41,1.0,0,3,3,3,333,Loyal Customers
CUST00247,118,11,5611.35,3.0,1,2,4,4,244,Loyal Customers
CUST00248,53,8,4617.07,0.0,0,3,4,4,344,Loyal Customers
CUST00249,223,3,1761.46,0.0,1,1,2,2,122,Dormant Customers
CUST00250,37,2,1335.96,0.0,0,3,1,1,311,Low Value Customers
CUST00251,102,1,966.73,1.0,1,2,1,1,211,Low Value Customers
CUST00252,251,6,5194.02,0.0,1,1,3,4,134,Loyal Customers
CUST00253,252,3,1901.1299999999999,0.0,1,1,2,2,122,Dormant Customers
CUST00254,244,4,3041.57,0.0,1,1,2,3,123,Dormant Customers
CUST00255,50,7,5070.56,2.0,0,3,4,4,344,Loyal Customers
CUST00256,242,2,1727.8400000000001,1.0,1,1,1,2,112,Dormant Customers
CUST00257,51,3,1361.41,0.0,0,3,2,1,321,Low Value Customers
CUST00258,36,11,6740.7300000000005,1.0,0,3,4,4,344,Loyal Customers
CUST00259,253,1,1519.33,0.0,1,1,1,2,112,Dormant Customers
CUST00260,14,3,2237.58,0.0,0,4,2,2,422,Potential Loyalists
CUST00261,7,3,2884.77,0.0,0,4,2,3,423,Potential Loyalists
CUST00262,10,3,1649.48,0.0,0,4,2,2,422,Low Value Customers
CUST00263,50,13,8211.17,6.0,0,3,4,4,344,Loyal Customers
CUST00264,92,2,671.0999999999999,1.0,1,2,1,1,211,Low Value Customers
CUST00265,10,3,1918.74,0.0,0,4,2,2,422,Low Value Customers
CUST00266,219,4,5306.62,2.0,1,1,2,4,124,Dormant Customers
CUST00267,90,4,4026.2300000000005,2.0,1,2,2,3,223,Potential Loyalists
CUST00268,40,4,4982.92,1.0,0,3,2,4,324,Potential Loyalists
CUST00269,34,4,3130.84,1.0,0,3,2,3,323,Potential Loyalists
CUST00270,14,4,3158.67,0.0,0,4,2,3,423,Potential Loyalists
CUST00271,10,6,5326.4,0.0,0,4,3,4,434,Loyal Customers
CUST00272,54,14,14120.16,0.0,0,3,4,4,344,Loyal Customers
CUST00273,23,9,6554.51,4.0,0,4,4,4,444,Loyal Customers
CUST00274,56,2,1003.95,0.0,0,3,1,1,311,Low Value Customers
CUST00275,302,6,3879.21,1.0,1,1,3,3,133,Loyal Customers
CUST00276,10,7,9212.91,0.0,0,4,4,4,444,Loyal Customers
CUST00277,6,4,2222.75,0.0,0,4,2,2,422,Potential Loyalists
CUST00278,130,4,2768.06,2.0,1,2,2,3,223,Dormant Customers
CUST00279,40,10,6562.58,1.0,0,3,4,4,344,Loyal Customers
CUST00280,53,9,7889.99,0.0,0,3,4,4,344,Loyal Customers
CUST00281,96,2,1161.06,0.0,1,2,1,1,211,Low Value Customers
CUST00282,357,2,774.76,1.0,1,1,1,1,111,Dormant Customers
CUST00283,42,11,8318.05,4.0,0,3,4,4,344,Loyal Customers
CUST00284,352,2,781.62,0.0,1,1,1,1,111,Dormant Customers
CUST00285,23,5,2538.27,0.0,0,4,3,2,432,Loyal Customers
CUST00286,430,2,2027.25,1.0,1,1,1,2,112,Dormant Customers
CUST00287,40,7,6816.38,1.0,0,3,4,4,344,Loyal Customers
CUST00288,171,2,1096.1,1.0,1,2,1,1,211,Dormant Customers
CUST00289,56,3,1303.02,0.0,0,3,2,1,321,Low Value Customers
CUST00290,59,2,878.26,1.0,0,2,1,1,211,Low Value Customers
CUST00291,119,9,5604.34,3.0,1,2,4,4,244,Loyal Customers
CUST00292,8,4,3132.6,1.0,0,4,2,3,423,Potential Loyalists
CUST00293,291,3,1699.71,0.0,1,1,2,2,122,Dormant Customers
CUST00294,35,3,3612.55,0.0,0,3,2,3,323,Potential Loyalists
CUST00295,11,5,4296.54,0.0,0,4,3,4,434,Loyal Customers
CUST00296,193,4,1989.83,0.0,1,1,2,2,122,Dormant Customers
CUST00297,215,1,1130.29,1.0,1,1,1,1,111,Dormant Customers
CUST00298,262,1,1122.99,0.0,1,1,1,1,111,Dormant Customers
CUST00299,404,4,2302.1800000000003,2.0,1,1,2,2,122,Dormant Customers
CUST00300,48,5,2586.24,0.0,0,3,3,2,332,Loyal Customers
CUST00301,27,9,7935.46,3.0,0,3,4,4,344,Loyal Customers
CUST00302,209,4,2534.0,3.0,1,1,2,2,122,Dormant Customers
CUST00303,15,8,5373.69,2.0,0,4,4,4,444,Loyal Customers
CUST00304,148,3,2837.27,1.0,1,2,2,3,223,Dormant Customers
CUST00305,227,1,531.59,0.0,1,1,1,1,111,Dormant Customers
CUST00306,47,6,5851.889999999999,2.0,0,3,3,4,334,Loyal Customers
CUST00307,93,3,2114.17,1.0,1,2,2,2,222,Potential Loyalists
CUST00308,43,3,2518.37,0.0,0,3,2,2,322,Potential Loyalists
CUST00309,69,3,2731.6099999999997,0.0,1,2,2,3,223,Potential Loyalists
CUST00310,22,2,1126.21,1.0,0,4,1,1,411,Low Value Customers
CUST00311,109,1,1336.82,0.0,1,2,1,1,211,Low Value Customers
CUST00312,125,1,486.27,0.0,1,2,1,1,211,Dormant Customers
CUST00313,223,1,769.77,1.0,1,1,1,1,111,Dormant Customers
CUST00314,77,1,560.98,0.0,1,2,1,1,211,Low Value Customers
CUST00315,5,12,11129.380000000001,2.0,0,4,4,4,444,Champions
CUST00316,158,2,1079.82,1.0,1,2,1,1,211,Dormant Customers
CUST00317,161,1,1353.24,0.0,1,2,1,1,211,Dormant Customers
CUST00318,56,6,6278.88,1.0,0,3,3,4,334,Loyal Customers
CUST00319,208,6,2585.4700000000003,0.0,1,1,3,2,132,Loyal Customers
CUST00320,50,8,5389.51,1.0,0,3,4,4,344,Loyal Customers
CUST00321,177,6,3100.54,2.0,1,2,3,3,233,Loyal Customers
CUST00322,46,6,3582.34,0.0,0,3,3,3,333,Loyal Customers
CUST00323,27,9,7552.84,0.0,0,3,4,4,344,Loyal Customers
CUST00324,335,4,6039.5599999999995,2.0,1,1,2,4,124,Dormant Customers
CUST00325,3,4,3975.12,0.0,0,4,2,3,423,Potential Loyalists
CUST00326,185,3,1868.65,1.0,1,1,2,2,122,Dormant Customers
CUST00327,63,3,1087.67,0.0,1,2,2,1,221,Low Value Customers
CUST00328,383,1,371.68,0.0,1,1,1,1,111,Dormant Customers
CUST00329,8,4,2102.61,0.0,0,4,2,2,422,Potential Loyalists
CUST00330,26,4,1658.54,1.0,0,3,2,2,322,Low Value Customers
CUST00331,212,5,3450.66,2.0,1,1,3,3,133,Loyal Customers
CUST00332,19,4,4830.33,2.0,0,4,2,4,424,Potential Loyalists
CUST00333,30,2,1205.58,0.0,0,3,1,1,311,Low Value Customers
CUST00334,146,3,2170.31,1.0,1,2,2,2,222,Dormant Customers
CUST00335,18,4,2833.44,2.0,0,4,3,3,433,Potential Loyalists
CUST00336,5,7,3979.4700000000003,0.0,0,4,4,3,443,Loyal Customers
CUST00337,68,2,1887.73,1.0,1,2,1,2,212,Low Value Customers
CUST00338,19,2,1364.21,1.0,0,4,1,1,411,Low Value Customers
CUST00339,28,5,3070.33,1.0,0,3,3,3,333,Loyal Customers
CUST00340,47,10,6781.87,1.0,0,3,4,4,344,Loyal Customers
CUST00341,24,2,1262.52,0.0,0,3,1,1,311,Low Value Customers
CUST00342,1,4,3043.19,1.0,0,4,3,3,433,Potential Loyalists
CUST00343,52,6,2874.94,0.0,0,3,3,3,333,Loyal Customers
CUST00344,33,6,4985.95,4.0,0,3,3,4,334,Loyal Customers
CUST00345,45,6,6318.72,1.0,0,3,3,4,334,Loyal Customers
CUST00346,60,12,10622.109999999999,2.0,0,2,4,4,244,Loyal Customers
CUST00347,245,4,3311.46,1.0,1,1,3,3,133,Dormant Customers
CUST00348,43,4,3043.55,0.0,0,3,3,3,333,Potential Loyalists
CUST00349,15,6,5889.18,0.0,0,4,3,4,434,Loyal Customers
CUST00350,1,3,2121.43,0.0,0,4,2,2,422,Potential Loyalists
CUST00351,14,8,8615.57,3.0,0,4,4,4,444,Loyal Customers
CUST00352,23,3,2352.36,0.0,0,4,2,2,422,Potential Loyalists
CUST00353,179,4,1755.1200000000001,1.0,1,2,3,2,232,Dormant Customers
CUST00354,25,6,3470.21,1.0,0,3,3,3,333,Loyal Customers
CUST00355,232,4,3405.2,2.0,1,1,3,3,133,Dormant Customers
CUST00356,22,6,3137.74,2.0,0,4,3,3,433,Loyal Customers
CUST00357,103,1,513.15,1.0,1,2,1,1,211,Low Value Customers
CUST00358,162,2,1523.3600000000001,1.0,1,2,1,2,212,Dormant Customers
CUST00359,30,9,6910.4,0.0,0,3,4,4,344,Loyal Customers
CUST00360,33,8,9265.23,0.0,0,3,4,4,344,Loyal Customers
CUST00361,230,1,361.04,1.0,1,1,1,1,111,Dormant Customers
CUST00362,13,6,3159.8599999999997,1.0,0,4,3,3,433,Loyal Customers
CUST00363,34,3,1780.5900000000001,1.0,0,3,2,2,322,Low Value Customers
CUST00364,420,3,2049.88,2.0,1,1,2,2,122,Dormant Customers
CUST00365,219,1,1015.06,0.0,1,1,1,1,111,Dormant Customers
CUST00366,38,6,6762.91,1.0,0,3,3,4,334,Loyal Customers
CUST00367,273,1,884.81,0.0,1,1,1,1,111,Dormant Customers
CUST00368,116,1,348.81,1.0,1,2,1,1,211,Low Value Customers
CUST00369,132,3,2263.62,0.0,1,2,2,2,222,Dormant Customers
